Burning Time; Firing Node; Firing Neuron; Burning Node; Burning Neuron;External Source; From Internal State; To Internal State; Step in State; Post Synaptic Weight; Pre Synaptic Weight; Instant to Fire; (Afferent) Firing Time
1.2; 0; 130; 0; 30; true; 0.2035260057294244; 0.2785260057294244; 0.075; 1; 0.075;-1;1.2
1.2; 0; 122; 0; 22; true; 0.4886058622524135; 0.5636058622524135; 0.075; 1; 0.075;-1;1.2
1.2; 0; 131; 0; 31; true; 0.37010567632088; 0.44510567632088; 0.075; 1; 0.075;-1;1.2
0.2; 2; 125; 2; 25; true; 0.3094327243506889; 0.3834327243506889; 0.074; 1; 0.074;-1;0.2
1.2; 0; 101; 0; 1; true; 0.9095900826867085; 0.9845900826867084; 0.075; 1; 0.075;-1;1.2
0.2; 2; 126; 2; 26; true; 0.0001107419320093; 0.0741107419320093; 0.074; 1; 0.074;-1;0.2
1.2; 0; 100; 0; 0; true; 0.0169783519688288; 0.0919783519688288; 0.075; 1; 0.075;-1;1.2
1.2; 0; 149; 0; 49; true; 0.5967824470706347; 0.6717824470706346; 0.075; 1; 0.075;-1;1.2
1.2; 0; 103; 0; 3; true; 0.6317026597266455; 0.7067026597266455; 0.075; 1; 0.075;-1;1.2
1.2; 0; 107; 0; 7; true; 0.2303268068694116; 0.3053268068694117; 0.075; 1; 0.075;-1;1.2
1.2; 1; 107; 1; 7; true; 0.7325001233839863; 0.8065001233839862; 0.074; 1; 0.074;-1;1.2
1.2; 1; 135; 1; 35; true; 0.3740027474801026; 0.4480027474801027; 0.074; 1; 0.074;-1;1.2
1.2; 1; 133; 1; 33; true; 0.3604041524535329; 0.4344041524535329; 0.074; 1; 0.074;-1;1.2
1.2; 1; 132; 1; 32; true; 0.8356199394730304; 0.9096199394730303; 0.074; 1; 0.074;-1;1.2
1.2; 1; 116; 1; 16; true; 0.5454680085400798; 0.6194680085400798; 0.074; 1; 0.074;-1;1.2
1.2; 1; 117; 1; 17; true; 0.2533467984260938; 0.3273467984260938; 0.074; 1; 0.074;-1;1.2
1.2; 1; 134; 1; 34; true; 0.2943303888440106; 0.3683303888440106; 0.074; 1; 0.074;-1;1.2
1.2; 1; 108; 1; 8; true; 0.0450169541473003; 0.1190169541473003; 0.074; 1; 0.074;-1;1.2
1.2; 1; 120; 1; 20; true; 0.2806097202931837; 0.3546097202931837; 0.074; 1; 0.074;-1;1.2
0.2; 2; 106; 2; 6; true; 0.5120819492729228; 0.5860819492729228; 0.074; 1; 0.074;-1;0.2
1.2; 1; 138; 1; 38; true; 0.456490492730554; 0.530490492730554; 0.074; 1; 0.074;-1;1.2
0.2; 2; 113; 2; 13; true; 0.5008084379046434; 0.5748084379046433; 0.074; 1; 0.074;-1;0.2
1.2; 1; 118; 1; 18; true; 0.3897179811545685; 0.4637179811545685; 0.074; 1; 0.074;-1;1.2
1.2; 0; 135; 0; 35; true; 0.6297689552454051; 0.7047689552454051; 0.075; 1; 0.075;-1;1.2
0.2; 2; 127; 2; 27; true; 0.8756313159756096; 0.9496313159756096; 0.074; 1; 0.074;-1;0.2
0.2; 2; 128; 2; 28; true; 0.0876008281127843; 0.1616008281127843; 0.074; 1; 0.074;-1;0.2
1.2; 1; 119; 1; 19; true; 1.0557694188721283; 1.1297694188721283; 0.074; 1; 0.074;8.905975789144712;1.2
1.2; 0; 133; 0; 33; true; 0.5765294101349177; 0.6515294101349176; 0.075; 1; 0.075;-1;1.2
0.2; 2; 114; 2; 14; true; 0.1470023788746999; 0.2210023788746999; 0.074; 1; 0.074;-1;0.2
1.2; 1; 137; 1; 37; true; 0.0554532149705727; 0.1294532149705727; 0.074; 1; 0.074;-1;1.2
0.2; 2; 129; 2; 29; true; 0.4378769120758168; 0.5118769120758168; 0.074; 1; 0.074;-1;0.2
